Imagen,Cluster,IoU,Ruta de salida
00487_1,6,0.2663,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00487_1_cluster6_iou0.27.png
00056_1,4,0.3101,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00056_1_cluster4_iou0.31.png
00273_4,4,0.2085,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00273_4_cluster4_iou0.21.png
00096_0,0,0.0256,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00096_0_cluster0_iou0.03.png
00543_0,5,0.0567,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00543_0_cluster5_iou0.06.png
00422_4,6,0.3906,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00422_4_cluster6_iou0.39.png
00506_0,2,0.1938,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00506_0_cluster2_iou0.19.png
00467_4,7,0.378,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00467_4_cluster7_iou0.38.png
00013_1,8,0.1797,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00013_1_cluster8_iou0.18.png
00192_0,0,0.1596,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00192_0_cluster0_iou0.16.png
00565_3,9,0.3817,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00565_3_cluster9_iou0.38.png
00520_3,3,0.2918,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00520_3_cluster3_iou0.29.png
00336_0,9,0.2899,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00336_0_cluster9_iou0.29.png
00373_0,2,0.0707,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00373_0_cluster2_iou0.07.png
00478_3,5,0.0816,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00478_3_cluster5_iou0.08.png
00355_3,8,0.1998,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00355_3_cluster8_iou0.20.png
